TRACE #1
--------------------------
{'x': 67.0}
{'z': 185.0, 'x': 67.0}
{'z': 159.0, 'x': 75.0, 'tmp': 1.0}
{'z': 159.0, 'x': 75.0, 'tmp': 1.0}
{'z': 159.0, 'x': 76.0, 'tmp': 1.0}
{'z': 159.0, 'x': 76.0, 'tmp': 0.0}
{'z': 159.0, 'x': 75.0, 'tmp': 0.0}
{'z': 158.0, 'x': 75.0, 'tmp': 0.0}
{'z': 158.0, 'x': 75.0, 'tmp': 0.0}
{'z': 158.0, 'x': 74.0, 'tmp': 0.0}
{'z': 157.0, 'x': 74.0, 'tmp': 0.0}
{'z': 157.0, 'x': 74.0, 'tmp': 1.0}
{'z': 157.0, 'x': 75.0, 'tmp': 1.0}
{'z': 157.0, 'x': 75.0, 'tmp': 1.0}
{'z': 157.0, 'x': 76.0, 'tmp': 1.0}
{'z': 157.0, 'x': 76.0, 'tmp': 1.0}
{'z': 157.0, 'x': 77.0, 'tmp': 1.0}
{'z': 157.0, 'x': 77.0, 'tmp': 0.0}
{'z': 157.0, 'x': 76.0, 'tmp': 0.0}
{'z': 156.0, 'x': 76.0, 'tmp': 0.0}
{'z': 156.0, 'x': 76.0, 'tmp': 0.0}
{'z': 156.0, 'x': 75.0, 'tmp': 0.0}
{'z': 155.0, 'x': 75.0, 'tmp': 0.0}
{'z': 155.0, 'x': 75.0, 'tmp': 1.0}
{'z': 155.0, 'x': 76.0, 'tmp': 1.0}
{'z': 155.0, 'x': 76.0, 'tmp': 1.0}
{'z': 155.0, 'x': 77.0, 'tmp': 1.0}
{'z': 155.0, 'x': 77.0, 'tmp': 1.0}
{'z': 155.0, 'x': 78.0, 'tmp': 1.0}
{'z': 155.0, 'x': 78.0, 'tmp': 0.0}
{'z': 155.0, 'x': 77.0, 'tmp': 0.0}
{'z': 154.0, 'x': 77.0, 'tmp': 0.0}
{'z': 154.0, 'x': 77.0, 'tmp': 1.0}
{'z': 154.0, 'x': 78.0, 'tmp': 1.0}
{'z': 154.0, 'x': 78.0, 'tmp': 0.0}
{'z': 154.0, 'x': 77.0, 'tmp': 0.0}
{'z': 153.0, 'x': 77.0, 'tmp': 0.0}
{'z': 153.0, 'x': 77.0, 'tmp': 1.0}
{'z': 153.0, 'x': 78.0, 'tmp': 1.0}
{'z': 153.0, 'x': 78.0, 'tmp': 0.0}
{'z': 153.0, 'x': 77.0, 'tmp': 0.0}
{'z': 152.0, 'x': 77.0, 'tmp': 0.0}
{'z': 152.0, 'x': 77.0, 'tmp': 1.0}
{'z': 152.0, 'x': 78.0, 'tmp': 1.0}
{'z': 152.0, 'x': 78.0, 'tmp': 1.0}
{'z': 152.0, 'x': 79.0, 'tmp': 1.0}
