TRACE #1
--------------------------
{'E1': 0.0}
{'S': 0.0, 'E1': 0.0}
{'S': 789.0, 'E1': 0.0, 'E0': 184.0}
{'S': 789.0, 'E1': 605.0, 'E0': 184.0}
{'S': 789.0, 'E1': 605.0, 'E0': 789.0}
{'S': 382.0, 'E1': 605.0, 'E0': 789.0}
{'S': 382.0, 'E1': 0.0, 'E0': 789.0}
{'S': 382.0, 'E1': 0.0, 'E0': 382.0}
{'S': 644.0, 'E1': 0.0, 'E0': 382.0}
{'S': 644.0, 'E1': 262.0, 'E0': 382.0}
{'S': 644.0, 'E1': 262.0, 'E0': 644.0}
{'S': 67.0, 'E1': 262.0, 'E0': 644.0}
{'S': 67.0, 'E1': 0.0, 'E0': 644.0}
{'S': 67.0, 'E1': 0.0, 'E0': 67.0}
{'S': 966.0, 'E1': 0.0, 'E0': 67.0}
{'S': 966.0, 'E1': 899.0, 'E0': 67.0}
{'S': 966.0, 'E1': 899.0, 'E0': 966.0}
{'S': 500.0, 'E1': 899.0, 'E0': 966.0}
{'S': 500.0, 'E1': 0.0, 'E0': 966.0}
{'S': 500.0, 'E1': 0.0, 'E0': 500.0}
{'S': 794.0, 'E1': 0.0, 'E0': 500.0}
{'S': 794.0, 'E1': 0.0, 'E0': 500.0}
{'S': 794.0, 'E1': 0.0, 'E0': 794.0}
{'S': 884.0, 'E1': 0.0, 'E0': 794.0}
{'S': 884.0, 'E1': 90.0, 'E0': 794.0}
{'S': 884.0, 'E1': 90.0, 'E0': 884.0}
{'S': 264.0, 'E1': 90.0, 'E0': 884.0}
{'S': 264.0, 'E1': -530.0, 'E0': 884.0}
{'S': 264.0, 'E1': -530.0, 'E0': 264.0}
{'S': 228.0, 'E1': -530.0, 'E0': 264.0}
{'S': 228.0, 'E1': 0.0, 'E0': 264.0}
{'S': 228.0, 'E1': 0.0, 'E0': 228.0}
{'S': 258.0, 'E1': 0.0, 'E0': 228.0}
{'S': 258.0, 'E1': 0.0, 'E0': 228.0}
{'S': 258.0, 'E1': 0.0, 'E0': 258.0}
{'S': 252.0, 'E1': 0.0, 'E0': 258.0}
{'S': 252.0, 'E1': 0.0, 'E0': 258.0}
{'S': 252.0, 'E1': 0.0, 'E0': 252.0}
{'S': 419.0, 'E1': 0.0, 'E0': 252.0}
{'S': 419.0, 'E1': 0.0, 'E0': 252.0}
{'S': 419.0, 'E1': 0.0, 'E0': 419.0}
{'S': 639.0, 'E1': 0.0, 'E0': 419.0}
{'S': 639.0, 'E1': 220.0, 'E0': 419.0}
{'S': 639.0, 'E1': 220.0, 'E0': 639.0}
{'S': 370.0, 'E1': 220.0, 'E0': 639.0}
